drug_name,site,listed_price
Farxiga,TrumpRx,35.0
Jardiance,SingleCare,210.12
Ozempic,TrumpRx,199.0
Rybelsus,SingleCare,903.43
Synjardy,SingleCare,243.66
Trijardy XR,GoodRx,188.63
Xigduo XR,TrumpRx,45.0
